"","col_names","dt"
"1",Jan 1960,0.71
"2",Apr 1960,0.63
"3",Jul 1960,0.85
"4",Oct 1960,0.44
"5",Jan 1961,0.61
"6",Apr 1961,0.69
"7",Jul 1961,0.92
"8",Oct 1961,0.55
"9",Jan 1962,0.72
"10",Apr 1962,0.77
"11",Jul 1962,0.92
"12",Oct 1962,0.6
"13",Jan 1963,0.83
"14",Apr 1963,0.8
"15",Jul 1963,1
"16",Oct 1963,0.77
"17",Jan 1964,0.92
"18",Apr 1964,1
"19",Jul 1964,1.24
"20",Oct 1964,1
"21",Jan 1965,1.16
"22",Apr 1965,1.3
"23",Jul 1965,1.45
"24",Oct 1965,1.25
"25",Jan 1966,1.26
"26",Apr 1966,1.38
"27",Jul 1966,1.86
"28",Oct 1966,1.56
"29",Jan 1967,1.53
"30",Apr 1967,1.59
"31",Jul 1967,1.83
"32",Oct 1967,1.86
"33",Jan 1968,1.53
"34",Apr 1968,2.07
"35",Jul 1968,2.34
"36",Oct 1968,2.25
"37",Jan 1969,2.16
"38",Apr 1969,2.43
"39",Jul 1969,2.7
"40",Oct 1969,2.25
"41",Jan 1970,2.79
"42",Apr 1970,3.42
"43",Jul 1970,3.69
"44",Oct 1970,3.6
"45",Jan 1971,3.6
"46",Apr 1971,4.32
"47",Jul 1971,4.32
"48",Oct 1971,4.05
"49",Jan 1972,4.86
"50",Apr 1972,5.04
"51",Jul 1972,5.04
"52",Oct 1972,4.41
"53",Jan 1973,5.58
"54",Apr 1973,5.85
"55",Jul 1973,6.57
"56",Oct 1973,5.31
"57",Jan 1974,6.03
"58",Apr 1974,6.39
"59",Jul 1974,6.93
"60",Oct 1974,5.85
"61",Jan 1975,6.93
"62",Apr 1975,7.74
"63",Jul 1975,7.83
"64",Oct 1975,6.12
"65",Jan 1976,7.74
"66",Apr 1976,8.91
"67",Jul 1976,8.28
"68",Oct 1976,6.84
"69",Jan 1977,9.54
"70",Apr 1977,10.26
"71",Jul 1977,9.54
"72",Oct 1977,8.73
"73",Jan 1978,11.88
"74",Apr 1978,12.06
"75",Jul 1978,12.15
"76",Oct 1978,8.91
"77",Jan 1979,14.04
"78",Apr 1979,12.96
"79",Jul 1979,14.85
"80",Oct 1979,9.99
"81",Jan 1980,16.2
"82",Apr 1980,14.67
"83",Jul 1980,16.02
"84",Oct 1980,11.61
